                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.441,                 3.2089,                 2.3113,                  0.004,                      1,                0.17546,                0.07719,                 1.7797,                 3.6843,                 2.7173,                      0,                      0,                      0
                      2,                 2.4738,                 3.0849,                 2.4483,                  0.004,                      1,                0.17964,                0.07774,                 1.7506,                 3.6364,                 2.6719,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.4415,                 3.0476,                 2.4386,                  0.004,                      1,                0.29513,                0.10529,                 1.7399,                 3.6532,                 2.6646,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.6059,                 3.0722,                 2.4905,                  0.004,                      1,                0.41757,                0.13778,                 1.8236,                 3.6441,                 2.6624,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 2.5606,                 2.9798,                 2.3013,                  0.004,                      1,                 0.4315,                0.12724,                 1.9392,                 3.7049,                 2.5251,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 2.2168,                 2.9533,                 2.1894,                  0.004,                      1,                  0.599,                 0.1879,                 1.9627,                 3.6099,                 2.4473,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 2.1962,                 3.0154,                 2.0763,                  0.004,                      1,                0.55302,                0.19734,                 1.9068,                 3.9272,                 2.2842,             0.00011287,             0.00011287,             0.00011287
                      8,                 2.1561,                 2.8859,                 2.0493,                  0.004,                      1,                0.52151,                 0.2055,                 2.1938,                 3.8072,                 2.3625,              0.0001303,              0.0001303,              0.0001303
                      9,                 1.8356,                  2.682,                 1.9075,                  0.004,                      1,                0.52526,                0.20206,                 2.2303,                 3.6694,                 2.3386,             0.00014733,             0.00014733,             0.00014733
                     10,                 1.7615,                 2.6035,                 1.7693,                  0.004,                      1,                0.57896,                0.24213,                 2.1242,                 3.6426,                 2.2618,             0.00016396,             0.00016396,             0.00016396
                     11,                 1.9129,                 2.3242,                 1.7831,                  0.004,                      1,                0.54042,                0.26751,                 1.9502,                 3.5602,                 2.1221,              0.0001802,              0.0001802,              0.0001802
                     12,                 1.9741,                 2.5594,                 1.9527,                  0.004,                      1,                0.60794,                0.30085,                 1.8222,                 3.4737,                 2.1547,             0.00019604,             0.00019604,             0.00019604
                     13,                 1.7221,                 2.2213,                 1.8559,                  0.004,                      1,                0.66721,                0.33257,                 1.6812,                 3.4163,                 2.0817,             0.00021149,             0.00021149,             0.00021149
                     14,                 2.0082,                 2.1329,                 1.8441,                  0.004,                      1,                 0.6719,                0.31256,                 1.5907,                  3.345,                 2.0607,             0.00022654,             0.00022654,             0.00022654
                     15,                 1.9934,                 2.0893,                 1.8208,                  0.004,                      1,                 0.6873,                0.34534,                  1.657,                 3.2125,                 2.2021,             0.00024119,             0.00024119,             0.00024119
                     16,                 2.0525,                 2.2299,                 1.8954,                  0.004,                      1,                0.71817,                 0.4009,                 1.7122,                 3.1365,                 2.3408,             0.00025545,             0.00025545,             0.00025545
                     17,                 1.7322,                 1.9924,                 1.7432,                  0.004,                      1,                0.67274,                0.37522,                 1.6886,                 3.1249,                  2.342,             0.00026931,             0.00026931,             0.00026931
                     18,                  1.869,                 1.9064,                 1.6145,                  0.004,                      1,                0.67274,                0.37522,                 1.6886,                 3.1249,                  2.342,             0.00028278,             0.00028278,             0.00028278
